vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
0,4443,0.591144,1.46346,-1.26329,0,0,0,0
1,20456,0.436583,1.54828,-1.23495,0,-1.77102,17.5747,-48.7635
2,17097,0.427861,1.37278,-1.20318,0,-2.55071,17.2147,-48.062
3,36103,0.469053,1.45778,-1.34959,0,-2.38181,14.9187,-37.5125
4,4447,0.382729,2.00276,-1.08435,0,0,0,0
5,24529,0.176701,1.95026,-1.06825,0,-1.65326,15.6136,-50.9546
6,4402,0.378251,1.96808,-0.936212,0,0,0,0
7,33229,0.217332,1.81832,-1.05399,0,-2.32964,17.7137,-58.7913
8,28007,0.450069,2.06707,-3.52435,0,8.13727,18.7425,-45.0338
9,35879,0.47833,2.23937,-3.42099,0,7.74451,17.3421,-44.148
10,20952,0.386632,2.11643,-3.37558,0,5.98893,21.3834,-59.7063
11,38053,0.370135,2.18615,-3.50184,0,7.7447,22.1627,-59.1563
12,4572,-0.735874,2.40481,-1.64936,0,0,0,0
13,4508,-0.73113,2.34996,-1.46888,0,0,0,0
14,4550,-0.59769,2.4408,-1.51307,0,0,0,0
15,16651,-0.688855,2.265,-1.59445,0,0.0349963,13.4129,-40.2288
16,13970,0.101715,1.46577,-1.57154,0,-2.79664,17.4267,-48.3281
17,22720,-0.0102371,1.39757,-1.69079,0,-1.75486,18.5384,-47.3087
18,21527,0.145438,1.3274,-1.73817,0,-3.57243,19.6874,-54.2835
19,32561,0.0716149,1.50569,-1.69779,0,-1.82573,17.9747,-48.2369
20,26675,0.0250676,1.94484,-2.04639,0,-1.2151,17.8029,-52.1446
21,27418,0.0412038,1.85108,-2.24802,0,0.152911,16.8842,-49.0799
22,25267,0.173665,1.771,-2.07317,0,-0.0561947,18.3054,-52.0031
23,37347,0.177219,1.85605,-2.19285,0,0.363463,18.0661,-52.3791
24,4667,-0.744747,2.55771,-2.13796,0,0,0,0
25,24992,-0.691762,2.45791,-2.25409,0,1.26113,17.3795,-46.1211
26,4668,-0.869564,2.4547,-2.12117,0,0,0,0
27,28198,-0.726053,2.3625,-2.09903,0,1.16571,15.8492,-48.7033
28,4723,0.529519,2.12727,-2.48502,0,0,0,0
29,22555,0.363097,2.18631,-2.51907,0,2.11796,16.7768,-49.5167
30,21231,0.384839,1.99812,-2.3187,0,-0.487441,16.8292,-50.2804
31,25457,0.395322,2.00502,-2.50045,0,-0.299757,18.4652,-53.9852
32,26286,-0.128314,1.96486,-2.47543,0,1.52337,17.2963,-50.2365
33,34685,-0.224293,2.10954,-2.58438,0,2.25955,16.9326,-49.2167
34,33412,-0.0687044,2.04999,-2.64337,0,2.29909,17.1744,-49.7192
35,38596,-0.0951129,2.11819,-2.49388,0,1.53684,16.7403,-49.8071
36,4826,-0.815846,2.77713,-2.95131,0,0,0,0
37,26966,-0.846377,2.60912,-3.02053,0,4.14927,14.5446,-33.6272
38,17850,-0.728372,2.58357,-2.92186,0,5.22966,19.1746,-53.3574
39,37206,-0.726961,2.68811,-3.01969,0,3.83206,18.6458,-40.4671
40,28641,-0.35738,1.84512,-3.06092,0,3.69208,16.0851,-47.3056
41,38055,-0.299593,1.97347,-3.06154,0,3.48103,17.328,-49.95
42,36894,-0.405141,1.86409,-2.91757,0,2.94261,16.3304,-48.1802
43,39187,-0.423915,2.03617,-3.0111,0,3.28257,17.0426,-49.477
44,21290,-0.341156,2.9967,-3.34982,0,7.30117,17.0564,-37.8777
45,26944,-0.144358,2.84546,-3.37853,0,7.88165,22.6044,-54.931
